Date,Open,High,Low,Close,Volume,Adj Close
9/8/2010,20.66,20.95,20.60,20.90,288400.00,20.90
9/9/2010,21.00,21.05,20.69,20.71,376200.00,20.71
9/10/2010,20.75,20.93,19.76,20.17,386600.00,20.17
9/13/2010,20.89,20.90,20.50,20.72,360800.00,20.72
9/14/2010,20.54,21.60,20.53,21.12,654700.00,21.12
9/15/2010,20.98,22.00,20.79,21.98,684600.00,21.98
9/16/2010,22.15,23.16,20.84,20.94,2684500.00,20.94
9/17/2010,21.02,21.32,19.80,20.23,1198500.00,20.23
9/20/2010,20.67,21.35,20.16,21.06,947500.00,21.06
9/21/2010,20.89,21.55,20.67,20.77,796000.00,20.77
9/22/2010,20.87,20.95,19.80,19.87,962900.00,19.87
9/23/2010,19.89,20.14,19.50,19.56,668100.00,19.56
9/24/2010,19.95,20.19,19.65,20.10,578900.00,20.10
9/27/2010,20.40,20.81,20.05,20.53,418600.00,20.53
9/28/2010,21.04,21.49,20.76,21.40,1214500.00,21.40
9/29/2010,21.19,22.03,21.13,21.98,1969300.00,21.98
9/30/2010,22.00,22.15,20.19,20.41,2195800.00,20.41
10/1/2010,20.69,20.75,20.31,20.60,597700.00,20.60
10/4/2010,20.43,21.17,20.30,20.99,643600.00,20.99
10/5/2010,21.15,21.28,21.01,21.12,332000.00,21.12
10/6/2010,21.06,21.26,20.32,20.46,313400.00,20.46
10/7/2010,20.57,20.64,20.34,20.43,141000.00,20.43
10/8/2010,20.43,20.79,20.39,20.43,267800.00,20.43
10/11/2010,20.44,20.70,20.07,20.24,171200.00,20.24
10/12/2010,20.20,20.28,20.03,20.24,244000.00,20.24
10/13/2010,20.64,20.85,20.36,20.54,318200.00,20.54
10/14/2010,21.00,21.03,20.40,20.75,294800.00,20.75
10/15/2010,20.89,20.90,20.25,20.54,284700.00,20.54
10/18/2010,20.52,20.64,20.22,20.23,162800.00,20.23
10/19/2010,20.20,20.41,20.00,20.05,245200.00,20.05
10/20/2010,20.16,20.69,20.04,20.65,312500.00,20.65
10/21/2010,20.61,20.95,20.45,20.75,417100.00,20.75
10/22/2010,20.68,20.93,20.55,20.72,161100.00,20.72
10/25/2010,20.94,20.98,20.73,20.85,118500.00,20.85
10/26/2010,20.80,21.87,20.51,21.36,660900.00,21.36
10/27/2010,21.25,21.38,20.65,21.00,356500.00,21.00
10/28/2010,21.39,21.50,20.96,21.19,224200.00,21.19
10/29/2010,21.14,21.85,21.05,21.84,280600.00,21.84
11/1/2010,21.94,22.75,21.31,21.41,455800.00,21.41
11/2/2010,21.68,21.88,21.05,21.25,322500.00,21.25
11/3/2010,21.28,22.50,21.16,21.77,372600.00,21.77
11/4/2010,22.60,25.33,22.15,24.90,1874000.00,24.90
11/5/2010,24.87,24.97,23.72,24.44,1011000.00,24.44
11/8/2010,24.50,25.00,24.03,24.98,509500.00,24.98
11/9/2010,25.00,25.69,24.05,24.63,956400.00,24.63
11/10/2010,24.48,29.97,24.05,29.36,3060500.00,29.36
11/11/2010,28.60,29.10,27.33,28.04,1945300.00,28.04
11/12/2010,28.25,30.50,28.07,29.84,2729100.00,29.84
11/15/2010,30.22,32.94,30.22,30.80,2622900.00,30.80
11/16/2010,31.00,31.40,28.42,29.67,1347600.00,29.67
11/17/2010,30.20,30.75,28.61,29.49,750000.00,29.49
11/18/2010,30.67,30.74,28.92,29.89,956100.00,29.89
11/19/2010,30.16,31.37,29.70,30.99,1150500.00,30.99
11/22/2010,31.57,33.45,31.50,33.40,1529700.00,33.40
11/23/2010,33.29,35.68,32.19,34.57,1577800.00,34.57
11/24/2010,35.27,35.97,34.33,35.47,1425000.00,35.47
11/26/2010,35.60,36.00,34.75,35.32,350600.00,35.32
11/29/2010,35.41,35.95,33.33,34.33,1145600.00,34.33
11/30/2010,33.74,35.33,33.41,35.33,2222600.00,35.33
12/1/2010,35.87,36.42,33.45,34.35,1299200.00,34.35
12/2/2010,34.01,34.30,31.20,32.35,2007000.00,32.35
12/3/2010,32.01,32.25,30.87,31.49,1160100.00,31.49
12/6/2010,31.35,31.45,29.56,30.31,1274400.00,30.31
12/7/2010,30.49,32.40,30.05,31.56,1311300.00,31.56
12/8/2010,32.48,32.49,31.52,32.37,660000.00,32.37
12/9/2010,32.51,32.72,31.65,32.05,406000.00,32.05
12/10/2010,32.05,32.92,31.13,31.52,429400.00,31.52
12/13/2010,31.64,31.77,30.40,30.55,410400.00,30.55
12/14/2010,30.29,30.39,27.76,28.53,1765700.00,28.53
12/15/2010,28.67,29.97,28.53,29.60,742900.00,29.60
12/16/2010,30.00,30.91,29.65,30.81,790100.00,30.81
12/17/2010,31.34,31.54,30.71,31.36,813000.00,31.36
12/20/2010,31.64,32.19,31.26,31.70,523400.00,31.70
12/21/2010,31.80,32.69,31.71,32.26,777700.00,32.26
12/22/2010,32.25,32.86,31.70,32.63,833300.00,32.63
12/23/2010,31.26,32.48,29.92,30.09,1552600.00,30.09
12/27/2010,28.02,28.58,25.06,25.55,9301900.00,25.55
12/28/2010,25.85,26.75,25.00,26.41,4056300.00,26.41
12/29/2010,27.03,28.01,26.50,27.73,3319200.00,27.73
12/30/2010,27.70,27.90,26.38,26.50,2041100.00,26.50
12/31/2010,26.57,27.25,26.50,26.63,1417900.00,26.63
1/3/2011,26.84,27.00,25.90,26.62,1283000.00,26.62
1/4/2011,26.66,26.95,26.02,26.67,1187400.00,26.67
1/5/2011,26.48,26.90,26.19,26.83,1446700.00,26.83
1/6/2011,26.83,28.00,26.81,27.88,2061200.00,27.88
1/7/2011,28.00,28.58,27.90,28.24,2247900.00,28.24
1/10/2011,28.17,28.68,28.05,28.45,1342700.00,28.45
1/11/2011,28.59,28.71,26.92,26.96,1710200.00,26.96
1/12/2011,27.01,27.40,26.52,26.96,964400.00,26.96
1/13/2011,26.96,26.97,26.16,26.22,723600.00,26.22
1/14/2011,26.15,26.58,25.61,25.75,1192000.00,25.75
1/18/2011,25.48,25.64,24.75,25.64,1621700.00,25.64
1/19/2011,25.27,25.47,23.75,24.03,2371500.00,24.03
1/20/2011,24.03,24.45,22.37,22.62,2279900.00,22.62
1/21/2011,23.12,23.59,22.71,23.04,1217000.00,23.04
1/24/2011,23.53,24.81,23.23,24.49,1645100.00,24.49
1/25/2011,24.65,24.89,24.02,24.68,1271500.00,24.68
1/26/2011,24.71,24.88,24.10,24.75,1079900.00,24.75
1/27/2011,24.74,25.08,24.53,24.92,895700.00,24.92
1/28/2011,24.88,24.88,23.75,24.01,1048400.00,24.01
1/31/2011,24.05,24.12,23.50,24.10,830300.00,24.10
2/1/2011,24.31,24.73,23.54,23.91,707800.00,23.91
2/2/2011,24.16,24.18,23.67,23.94,569500.00,23.94
2/3/2011,23.82,23.90,23.15,23.63,512000.00,23.63
2/4/2011,23.44,23.67,23.22,23.46,544000.00,23.46
2/7/2011,23.26,23.26,22.88,23.07,895100.00,23.07
2/8/2011,23.78,25.25,23.00,24.49,3504900.00,24.49
2/9/2011,24.13,24.18,22.79,23.21,2635600.00,23.21
2/10/2011,23.26,23.64,22.81,23.22,836100.00,23.22
2/11/2011,23.25,23.75,22.94,23.25,634500.00,23.25
2/14/2011,23.64,24.14,23.05,23.08,1283100.00,23.08
2/15/2011,23.01,23.17,22.56,22.84,953700.00,22.84
2/16/2011,23.10,24.97,23.07,24.73,4115100.00,24.73
2/17/2011,24.63,25.49,23.55,23.60,2618400.00,23.60
2/18/2011,23.33,23.49,22.96,23.18,2370700.00,23.18
2/22/2011,22.88,23.00,21.78,21.87,2064600.00,21.87
2/23/2011,22.18,22.50,21.11,21.83,1605600.00,21.83
2/24/2011,21.78,22.58,21.50,22.53,1055300.00,22.53
2/25/2011,22.81,23.85,22.69,23.61,1346300.00,23.61
2/28/2011,23.74,24.10,23.50,23.89,1051200.00,23.89
3/1/2011,24.05,24.32,23.70,23.94,1106400.00,23.94
3/2/2011,23.82,24.28,23.73,24.02,663300.00,24.02
3/3/2011,24.48,24.79,24.06,24.36,640200.00,24.36
3/4/2011,24.48,24.99,23.78,24.95,1580100.00,24.95
3/7/2011,24.93,25.40,24.70,24.94,2033600.00,24.94
3/8/2011,24.60,24.96,24.00,24.66,1399900.00,24.66
3/9/2011,24.66,24.99,24.27,24.72,924800.00,24.72
3/10/2011,24.44,24.49,23.73,24.01,1017000.00,24.01
3/11/2011,23.85,24.25,23.53,24.07,930800.00,24.07
3/14/2011,23.82,24.00,23.20,23.25,1166000.00,23.25
3/15/2011,22.20,22.96,21.80,22.95,1318800.00,22.95
3/16/2011,22.86,23.25,22.69,22.82,1169700.00,22.82
3/17/2011,23.24,23.43,22.64,22.81,922600.00,22.81
3/18/2011,23.19,23.19,22.51,22.96,687900.00,22.96
3/21/2011,23.05,23.05,22.54,22.73,411700.00,22.73
3/22/2011,22.73,22.86,22.00,22.19,582900.00,22.19
3/23/2011,22.11,22.27,21.77,22.21,422800.00,22.21
3/24/2011,22.14,22.38,21.98,22.33,462200.00,22.33
3/25/2011,22.43,23.00,22.40,22.75,568000.00,22.75
3/28/2011,22.70,23.54,22.55,23.25,1058100.00,23.25
3/29/2011,23.30,24.00,23.21,23.92,755400.00,23.92
3/30/2011,24.11,24.49,23.01,23.71,1223300.00,23.71
3/31/2011,26.55,28.71,26.50,27.75,11517800.00,27.75
4/1/2011,27.45,28.18,26.57,26.66,2864800.00,26.66
4/4/2011,26.83,27.00,25.23,25.83,2609300.00,25.83
4/5/2011,25.90,27.00,25.69,26.70,3180900.00,26.70
4/6/2011,26.99,27.01,25.80,26.49,1288300.00,26.49
4/7/2011,26.85,27.94,26.45,27.24,2810300.00,27.24
4/8/2011,27.58,27.60,26.36,26.49,1946400.00,26.49
4/11/2011,26.47,26.53,25.02,25.27,1369400.00,25.27
4/12/2011,25.08,25.21,24.30,24.65,1357400.00,24.65
4/13/2011,25.13,25.69,24.81,24.93,1211500.00,24.93
4/14/2011,24.87,25.28,24.20,25.14,983400.00,25.14
4/15/2011,25.65,26.18,25.41,25.58,943500.00,25.58
4/18/2011,25.13,25.62,24.36,25.03,1033900.00,25.03
4/19/2011,25.26,25.26,24.65,25.16,548700.00,25.16
4/20/2011,25.70,26.09,25.30,25.75,837200.00,25.75
4/21/2011,25.85,26.98,25.59,26.74,1386100.00,26.74
4/25/2011,26.70,26.73,25.97,26.39,800900.00,26.39
4/26/2011,26.66,27.25,26.31,26.93,1400000.00,26.93
4/27/2011,26.93,27.36,26.63,27.08,996900.00,27.08
4/28/2011,27.07,27.69,26.72,27.66,1600000.00,27.66
4/29/2011,27.69,27.87,27.42,27.60,726000.00,27.60
5/2/2011,27.60,27.80,27.06,27.45,784600.00,27.45
5/3/2011,27.38,27.39,26.50,26.87,913900.00,26.87
5/4/2011,26.78,27.00,25.75,26.69,1044500.00,26.69
5/5/2011,27.20,27.44,26.17,26.44,1218500.00,26.44
5/6/2011,26.90,27.70,26.62,27.12,981700.00,27.12
5/9/2011,27.00,28.00,26.85,27.91,916400.00,27.91
5/10/2011,28.24,28.95,27.91,28.33,1535300.00,28.33
5/11/2011,28.20,28.30,26.92,27.07,962500.00,27.07
5/12/2011,27.07,27.74,26.65,27.67,628000.00,27.67
5/13/2011,28.00,28.19,27.30,27.55,661500.00,27.55
5/16/2011,27.99,27.99,26.55,26.60,755700.00,26.60
5/17/2011,27.00,27.00,25.72,25.96,1234200.00,25.96
5/18/2011,26.10,26.47,25.52,26.35,729500.00,26.35
5/19/2011,27.03,28.44,26.60,28.20,2655100.00,28.20
5/20/2011,28.26,28.28,27.35,27.97,842500.00,27.97
5/23/2011,27.62,27.62,26.62,26.82,863600.00,26.82
5/24/2011,27.02,27.50,26.60,26.72,613700.00,26.72
5/25/2011,26.90,29.01,26.17,28.98,4693100.00,28.98
5/26/2011,28.82,29.76,28.10,29.48,3336900.00,29.48
5/27/2011,29.54,29.67,28.82,29.55,1687100.00,29.55
5/31/2011,29.69,30.28,29.55,30.14,3290500.00,30.14
6/1/2011,30.00,30.10,28.38,28.52,1529900.00,28.52
6/2/2011,28.52,29.32,28.51,28.76,986300.00,28.76
6/3/2011,29.95,31.50,29.50,30.13,6209200.00,30.13
6/6/2011,30.10,30.13,28.26,28.70,2331100.00,28.70
6/7/2011,28.94,29.39,28.26,28.37,1222100.00,28.37
6/8/2011,28.44,28.60,27.02,27.12,1695900.00,27.12
6/9/2011,27.43,28.10,27.10,27.62,1603200.00,27.62
6/10/2011,27.52,28.30,27.35,27.86,1566600.00,27.86
6/13/2011,28.07,28.88,27.88,28.43,1713400.00,28.43
6/14/2011,28.54,29.70,28.52,28.60,1573400.00,28.60
6/15/2011,28.44,28.45,27.07,27.32,1345000.00,27.32
6/16/2011,27.67,28.00,25.74,26.50,1842200.00,26.50
6/17/2011,26.87,27.70,26.14,26.50,1714000.00,26.50
6/20/2011,26.29,26.46,25.50,26.01,1537800.00,26.01
6/21/2011,26.24,27.73,26.00,27.53,1496000.00,27.53
6/22/2011,27.37,28.25,27.10,27.21,1475600.00,27.21
6/23/2011,27.20,27.72,26.21,27.71,1170000.00,27.71
6/24/2011,27.64,27.97,27.26,27.57,3608500.00,27.57
6/27/2011,27.73,28.28,27.31,27.46,1809400.00,27.46
6/28/2011,27.79,28.25,27.67,28.11,889200.00,28.11
6/29/2011,28.50,29.09,28.07,28.29,1461800.00,28.29
6/30/2011,28.50,29.33,28.40,29.13,946700.00,29.13
7/1/2011,29.07,29.60,28.80,29.02,854900.00,29.02
7/5/2011,29.02,29.52,28.71,29.14,996000.00,29.14
7/6/2011,29.14,29.14,28.55,28.96,926900.00,28.96
7/7/2011,29.14,30.00,29.01,29.73,1327900.00,29.73
7/8/2011,29.89,29.89,28.59,28.81,1240600.00,28.81
7/11/2011,28.40,28.53,28.00,28.35,975800.00,28.35
7/12/2011,28.37,29.09,28.00,28.17,1045400.00,28.17
7/13/2011,28.43,29.03,27.90,28.64,1066000.00,28.64
7/14/2011,28.53,28.96,27.25,27.61,1159000.00,27.61
7/15/2011,27.79,27.83,27.40,27.58,709000.00,27.58
7/18/2011,27.34,27.45,26.63,27.23,851900.00,27.23
7/19/2011,27.58,28.11,27.54,27.89,1026100.00,27.89
7/20/2011,28.00,30.44,27.80,28.69,3048300.00,28.69
7/21/2011,28.91,29.16,28.10,28.70,1011500.00,28.70
7/22/2011,28.70,29.54,28.55,29.29,583500.00,29.29
7/25/2011,29.01,29.25,28.44,28.49,673300.00,28.49
7/26/2011,28.31,28.77,27.97,28.00,760600.00,28.00
7/27/2011,28.50,28.50,27.51,27.64,958500.00,27.64
7/28/2011,27.60,28.55,27.54,28.17,938700.00,28.17
7/29/2011,27.80,28.40,27.50,28.17,948200.00,28.17
8/1/2011,28.67,28.98,28.21,28.77,1164900.00,28.77
8/2/2011,28.69,29.20,27.27,27.34,1549400.00,27.34
8/3/2011,27.50,27.83,26.34,27.20,1794500.00,27.20
8/4/2011,26.51,26.89,24.67,24.75,3064500.00,24.75
8/5/2011,24.99,25.38,22.83,24.24,1964400.00,24.24
8/8/2011,23.10,24.44,23.10,23.64,2608500.00,23.64
8/9/2011,24.15,25.45,23.70,25.06,1333400.00,25.06
8/10/2011,25.44,25.44,23.63,23.82,1564200.00,23.82
8/11/2011,24.04,25.75,24.00,25.30,836500.00,25.30
8/12/2011,25.60,27.14,25.36,26.31,1009100.00,26.31
8/15/2011,26.62,26.75,25.93,26.23,738600.00,26.23
8/16/2011,26.13,26.54,25.83,26.10,537700.00,26.10
8/17/2011,26.39,26.65,25.51,25.83,643700.00,25.83
8/18/2011,25.00,25.15,23.47,24.26,1056600.00,24.26
8/19/2011,23.86,24.22,22.00,22.30,1375300.00,22.30
8/22/2011,23.11,23.80,21.68,21.95,986100.00,21.95
8/23/2011,21.93,23.11,21.50,22.96,869000.00,22.96
8/24/2011,23.10,23.93,22.83,23.87,684300.00,23.87
8/25/2011,23.87,23.87,22.90,23.11,679800.00,23.11
8/26/2011,22.71,23.95,22.07,23.73,761800.00,23.73
8/29/2011,24.22,24.85,24.02,24.71,803400.00,24.71
8/30/2011,24.50,24.77,24.09,24.63,366200.00,24.63
8/31/2011,24.80,25.50,24.28,24.74,823800.00,24.74
9/1/2011,24.66,24.87,23.84,24.00,848100.00,24.00
9/2/2011,23.66,23.99,22.68,23.07,769900.00,23.07
9/6/2011,22.50,23.20,22.29,22.94,809800.00,22.94
9/7/2011,23.39,24.00,23.28,23.84,459200.00,23.84
9/8/2011,23.58,24.03,23.28,23.61,505700.00,23.61
9/9/2011,23.37,23.57,22.55,22.97,669300.00,22.97
9/12/2011,22.50,23.31,22.45,22.88,566600.00,22.88
9/13/2011,23.01,24.10,22.75,24.08,726500.00,24.08
9/14/2011,24.25,24.84,23.79,24.34,830800.00,24.34
9/15/2011,24.58,24.93,24.33,24.82,562600.00,24.82
9/16/2011,24.78,25.84,24.49,25.80,1417100.00,25.80
9/19/2011,24.95,25.81,23.82,25.77,1157400.00,25.77
9/20/2011,25.98,26.60,25.67,26.01,1180400.00,26.01
9/21/2011,25.95,26.95,25.70,25.85,987600.00,25.85
9/22/2011,25.64,26.11,24.88,25.63,775800.00,25.63
9/23/2011,25.49,26.62,25.35,26.38,1156400.00,26.38
9/26/2011,26.52,26.52,24.90,25.52,934800.00,25.52
9/27/2011,26.00,26.99,25.57,26.19,674500.00,26.19
9/28/2011,26.00,26.50,24.51,24.59,723300.00,24.59
9/29/2011,25.72,25.82,23.55,24.12,929600.00,24.12
9/30/2011,24.80,24.89,23.49,24.39,1336100.00,24.39
10/3/2011,24.95,25.00,23.25,23.73,1023200.00,23.73
10/4/2011,23.29,24.32,22.93,23.66,1200300.00,23.66
10/5/2011,24.03,25.84,23.35,25.37,1229500.00,25.37
10/6/2011,25.37,27.60,25.02,26.96,1769100.00,26.96
10/7/2011,26.98,27.60,26.05,26.99,1311600.00,26.99
10/10/2011,27.31,28.18,27.00,27.88,923500.00,27.88
10/11/2011,27.51,27.77,27.09,27.61,575700.00,27.61
10/12/2011,27.25,28.00,27.20,27.80,1123400.00,27.80
10/13/2011,27.63,28.47,27.44,27.94,1043500.00,27.94
10/14/2011,28.00,28.55,27.26,28.05,1400500.00,28.05
10/17/2011,27.86,28.00,27.26,27.42,754500.00,27.42
10/18/2011,27.30,28.43,26.71,28.34,999700.00,28.34
10/19/2011,28.02,28.06,27.30,27.57,792900.00,27.57
10/20/2011,27.44,27.47,27.00,27.34,999700.00,27.34
10/21/2011,27.40,28.30,27.01,28.03,1142600.00,28.03
10/24/2011,27.87,28.89,27.75,28.55,940600.00,28.55
10/25/2011,28.23,28.86,27.80,28.25,654400.00,28.25
10/26/2011,28.19,28.37,27.40,27.98,510500.00,27.98
10/27/2011,28.34,28.95,28.11,28.76,869400.00,28.76
10/28/2011,28.50,30.00,28.01,29.87,1264000.00,29.87
10/31/2011,29.50,29.51,28.75,29.37,1134000.00,29.37
11/1/2011,28.39,28.92,28.00,28.88,635200.00,28.88
11/2/2011,29.00,29.26,28.25,28.71,875300.00,28.71
11/3/2011,30.00,32.49,29.53,32.46,2509700.00,32.46
11/4/2011,31.46,32.40,30.51,32.31,3032900.00,32.31
11/7/2011,31.64,32.00,30.75,31.27,1266300.00,31.27
11/8/2011,31.37,32.00,30.72,31.84,1167900.00,31.84
11/9/2011,30.87,31.49,30.30,30.88,953700.00,30.88
11/10/2011,30.94,31.50,30.65,31.33,747300.00,31.33
11/11/2011,31.90,34.50,30.57,33.64,3868300.00,33.64
11/14/2011,33.00,33.54,32.62,33.22,1325700.00,33.22
11/15/2011,32.92,34.40,32.73,33.93,891000.00,33.93
11/16/2011,33.48,35.00,33.40,34.94,1833200.00,34.94
11/17/2011,34.50,34.90,33.19,33.68,1349300.00,33.68
11/18/2011,33.64,34.11,32.54,32.60,902800.00,32.60
11/21/2011,32.44,32.44,31.05,31.76,1031600.00,31.76
11/22/2011,31.76,32.79,31.05,32.07,732600.00,32.07
11/23/2011,31.76,32.05,31.25,31.45,451800.00,31.45
11/25/2011,31.55,32.41,31.08,31.66,239600.00,31.66
11/28/2011,32.00,33.28,31.81,32.56,681200.00,32.56
11/29/2011,32.49,33.07,31.63,31.75,591100.00,31.75
11/30/2011,32.50,32.93,32.22,32.74,760300.00,32.74
12/1/2011,32.57,33.99,31.98,32.60,1030200.00,32.60
12/2/2011,32.83,33.69,32.40,33.30,802800.00,33.30
12/5/2011,33.53,35.00,33.43,34.42,1160100.00,34.42
12/6/2011,34.20,34.98,34.03,34.87,951800.00,34.87
12/7/2011,34.63,34.89,33.80,34.19,674300.00,34.19
12/8/2011,30.84,31.65,29.61,30.89,3305800.00,30.89
12/9/2011,30.54,31.12,30.28,31.04,1239500.00,31.04
12/12/2011,30.44,30.62,30.02,30.41,758700.00,30.41
12/13/2011,30.57,30.93,28.91,29.45,994100.00,29.45
12/14/2011,29.50,29.68,28.00,28.53,1163900.00,28.53
12/15/2011,28.67,29.17,28.12,28.62,700300.00,28.62
12/16/2011,28.79,28.93,27.98,28.00,1029700.00,28.00
12/19/2011,28.09,28.50,27.37,27.75,987000.00,27.75
12/20/2011,28.05,28.45,27.72,27.90,843300.00,27.90
12/21/2011,27.91,28.07,26.03,27.57,1705500.00,27.57
12/22/2011,27.60,28.05,27.30,27.77,1009400.00,27.77
12/23/2011,28.00,28.00,27.52,27.90,591400.00,27.90
12/27/2011,27.66,28.77,27.64,28.57,777500.00,28.57
12/28/2011,28.99,29.24,28.04,28.51,575200.00,28.51
12/29/2011,28.59,29.34,28.55,28.73,488200.00,28.73
12/30/2011,28.49,28.98,28.25,28.56,339800.00,28.56
1/3/2012,28.94,29.50,27.65,28.08,928100.00,28.08
1/4/2012,28.21,28.67,27.50,27.71,630100.00,27.71
1/5/2012,27.76,27.93,26.85,27.12,1005500.00,27.12
1/6/2012,27.20,27.79,26.41,26.91,986300.00,26.91
1/9/2012,27.00,27.49,26.12,27.25,897000.00,27.25
1/10/2012,27.44,27.76,27.25,27.62,671800.00,27.62
1/11/2012,27.62,28.38,27.30,28.23,672300.00,28.23
1/12/2012,28.48,28.62,27.81,28.25,729300.00,28.25
1/13/2012,28.40,28.50,22.64,22.79,5500400.00,22.79
1/17/2012,26.62,27.34,26.41,26.60,4651600.00,26.60
1/18/2012,26.69,26.88,26.25,26.81,1260200.00,26.81
1/19/2012,27.19,27.74,26.61,26.76,1246300.00,26.76
1/20/2012,26.90,27.00,26.40,26.60,662300.00,26.60
1/23/2012,26.81,27.21,26.60,26.77,594600.00,26.77
1/24/2012,26.63,27.68,26.44,27.42,858000.00,27.42
1/25/2012,27.27,28.01,27.05,27.97,611200.00,27.97
1/26/2012,28.07,29.58,28.00,28.94,1271100.00,28.94
1/27/2012,28.50,29.72,28.50,29.33,748400.00,29.33
1/30/2012,29.49,29.61,28.53,29.57,729000.00,29.57
1/31/2012,29.90,30.00,28.87,29.07,956400.00,29.07
2/1/2012,29.07,29.70,29.00,29.58,523200.00,29.58
2/2/2012,29.72,30.88,29.61,30.25,805700.00,30.25
2/3/2012,30.41,31.33,30.25,31.15,764500.00,31.15
2/6/2012,31.10,31.90,31.05,31.80,652100.00,31.80
2/7/2012,31.80,31.80,30.82,31.60,1021600.00,31.60
2/8/2012,31.60,32.01,31.29,31.93,623700.00,31.93
2/9/2012,32.00,32.90,31.43,32.58,1277100.00,32.58
2/10/2012,32.26,32.27,29.84,31.10,1874200.00,31.10
2/13/2012,31.55,32.06,30.90,31.49,1157900.00,31.49
2/14/2012,31.74,33.79,31.40,33.17,1810800.00,33.17
2/15/2012,33.10,34.41,32.27,33.60,2761800.00,33.60
2/16/2012,33.50,34.51,32.54,34.18,2219700.00,34.18
2/17/2012,33.99,34.97,33.50,34.97,1376700.00,34.97
2/21/2012,34.87,34.87,33.81,34.50,1135800.00,34.50
2/22/2012,34.50,34.72,32.50,34.22,1654600.00,34.22
2/23/2012,33.99,34.97,33.56,34.53,820400.00,34.53
2/24/2012,34.23,34.52,33.27,33.75,959900.00,33.75
2/27/2012,33.41,34.00,33.00,33.62,606000.00,33.62
2/28/2012,33.64,34.44,33.17,33.81,612200.00,33.81
2/29/2012,33.81,34.12,33.14,33.41,535700.00,33.41
3/1/2012,33.51,34.50,33.31,34.41,703500.00,34.41
3/2/2012,34.40,34.50,33.71,34.04,550000.00,34.04
3/5/2012,34.35,34.40,33.46,33.77,467000.00,33.77
3/6/2012,33.25,33.28,32.62,33.11,573800.00,33.11
3/7/2012,33.12,33.31,32.91,33.12,364900.00,33.12
3/8/2012,33.11,33.49,33.04,33.07,633300.00,33.07
3/9/2012,33.20,35.31,33.20,34.74,1553400.00,34.74
